param_info,stimuli_sequence,trial_number,test_type,fam_duration,mean_sample
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBB,8,fam,7,19.5175
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBBB,9,fam,8,18.66
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBBBB,10,fam,9,16.5
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBBBD,10,nov,9,56.05
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBBD,9,nov,8,52.89
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBBD,8,nov,7,53.76578947368421
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBBD,7,nov,6,54.615
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBBD,6,nov,5,54.095
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBBD,5,nov,4,51.435
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBBD,4,nov,3,53.435
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BBD,3,nov,2,52.4275
v_1_ap_0.100000001490116_bp_0.100000001490116_weig_1e-05_sd_epsilon_1,BD,2,nov,1,46.85
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,B,1,fam,0,21.0075
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BB,2,fam,1,16.8325
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBB,3,fam,2,13.4375
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBB,4,fam,3,10.3175
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBB,5,fam,4,10.315
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBB,6,fam,5,7.735
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBB,7,fam,6,7.3075
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBB,8,fam,7,6.6325
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBBB,9,fam,8,6.07
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBBBB,10,fam,9,5.3425
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBBBD,10,nov,9,19.7275
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBBD,9,nov,8,16.91
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBBD,8,nov,7,22.3725
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBBD,7,nov,6,17.62
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBBD,6,nov,5,20.1825
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBBD,5,nov,4,20.9925
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBBD,4,nov,3,21.1275
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BBD,3,nov,2,23.7925
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.100000001490116,BD,2,nov,1,23.5925
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,B,1,fam,0,22.8975
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BB,2,fam,1,18.395
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBB,3,fam,2,15.635
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBB,4,fam,3,12.0225
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBB,5,fam,4,9.78
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBB,6,fam,5,9.3475
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBB,7,fam,6,7.8575
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBB,8,fam,7,6.4975
v_1_ap_1_bp_0.100000001490116_weig_1e-04_sd_epsilon_0.5,BBBBBBBBB,9,fam,8,6.1157894736842104
