trial_id,param_id,sample_n_mean,sample_n_std,Unnamed: 0,embedding_type,feature_n,fam_duration,test_type,fam,test,violation_type,stim_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
4,0,29.136979166666666,37.450138122505464,223,resnet_pa,3,2,fam,animate_004_right.png,animate_004_right.png,background,31,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,224,resnet_pa,3,2,fam,animate_005_left.png,animate_005_left.png,background,32,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,225,resnet_pa,3,2,fam,animate_006_left.png,animate_006_left.png,background,33,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,226,resnet_pa,3,2,fam,animate_005_right.png,animate_005_right.png,background,34,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,227,resnet_pa,3,2,fam,animate_006_right.png,animate_006_right.png,background,35,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,228,resnet_pa,3,2,fam,animate_007_left.png,animate_007_left.png,background,36,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,229,resnet_pa,3,2,fam,animate_008_left.png,animate_008_left.png,background,37,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,230,resnet_pa,3,2,fam,animate_007_right.png,animate_007_right.png,background,38,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,231,resnet_pa,3,2,fam,animate_008_right.png,animate_008_right.png,background,39,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,232,resnet_pa,3,2,fam,animate_009_left.png,animate_009_left.png,background,40,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,233,resnet_pa,3,2,fam,animate_010_left.png,animate_010_left.png,background,41,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,234,resnet_pa,3,2,fam,animate_009_right.png,animate_009_right.png,background,42,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,235,resnet_pa,3,2,fam,animate_010_right.png,animate_010_right.png,background,43,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,236,resnet_pa,3,2,fam,animate_011_left.png,animate_011_left.png,background,44,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,237,resnet_pa,3,2,fam,animate_012_left.png,animate_012_left.png,background,45,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,238,resnet_pa,3,2,fam,animate_011_right.png,animate_011_right.png,background,46,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
4,0,29.136979166666666,37.450138122505464,239,resnet_pa,3,2,fam,animate_012_right.png,animate_012_right.png,background,47,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
5,0,29.77375,37.17463690994123,240,resnet_pa,3,2,novel,animate_001_left.png,animate_002_left.png,identity,0,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
5,0,29.77375,37.17463690994123,241,resnet_pa,3,2,novel,animate_002_left.png,animate_001_left.png,identity,1,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
