,sample_n,run_id,v_type
3,1,22,number
4,2,22,number
5,1,22,number
0,13,22,pose
1,1,22,pose
2,2,22,pose
3,1,22,pose
4,2,22,pose
5,1,22,pose
0,5,22,animacy
1,6,22,animacy
2,2,22,animacy
3,2,22,animacy
4,1,22,animacy
5,2,22,animacy
0,11,23,background
1,3,23,background
2,3,23,background
3,1,23,background
4,1,23,background
5,3,23,background
0,10,23,identity
1,5,23,identity
2,2,23,identity
3,1,23,identity
4,4,23,identity
5,1,23,identity
0,15,23,number
1,3,23,number
2,1,23,number
3,1,23,number
4,1,23,number
5,1,23,number
0,4,23,pose
1,6,23,pose
2,2,23,pose
3,2,23,pose
4,1,23,pose
5,1,23,pose
0,7,23,animacy
1,8,23,animacy
2,1,23,animacy
3,1,23,animacy
4,1,23,animacy
5,1,23,animacy
0,6,24,background
1,10,24,background
2,3,24,background
3,1,24,background
4,2,24,background
5,1,24,background
0,4,24,identity
1,10,24,identity
2,4,24,identity
3,1,24,identity
4,3,24,identity
5,3,24,identity
0,1,24,number
1,15,24,number
2,2,24,number
3,3,24,number
4,1,24,number
5,3,24,number
0,1,24,pose
1,9,24,pose
2,8,24,pose
3,2,24,pose
4,3,24,pose
5,1,24,pose
0,2,24,animacy
1,5,24,animacy
2,17,24,animacy
3,1,24,animacy
4,1,24,animacy
5,2,24,animacy
0,2,25,background
1,2,25,background
2,5,25,background
3,2,25,background
4,2,25,background
5,1,25,background
0,2,25,identity
1,2,25,identity
2,4,25,identity
3,2,25,identity
4,1,25,identity
5,1,25,identity
0,2,25,number
1,2,25,number
2,2,25,number
3,4,25,number
4,2,25,number
5,2,25,number
0,2,25,pose
1,2,25,pose
2,4,25,pose
3,3,25,pose
4,1,25,pose
5,1,25,pose
0,1,25,animacy
1,1,25,animacy
2,7,25,animacy
3,2,25,animacy
4,1,25,animacy
5,2,25,animacy
0,10,26,background
1,16,26,background
2,11,26,background
3,1,26,background
4,3,26,background
5,43,26,background
0,28,26,identity
1,4,26,identity
2,35,26,identity
3,2,26,identity
4,7,26,identity
5,1,26,identity
0,28,26,number
1,13,26,number
2,8,26,number
3,17,26,number
4,10,26,number
5,3,26,number
0,39,26,pose
1,20,26,pose
2,12,26,pose
3,1,26,pose
4,5,26,pose
5,7,26,pose
0,26,26,animacy
1,3,26,animacy
2,6,26,animacy
3,1,26,animacy
4,35,26,animacy
5,4,26,animacy
0,82,27,background
1,4,27,background
2,14,27,background
3,4,27,background
4,5,27,background
5,8,27,background
0,37,27,identity
1,6,27,identity
2,1,27,identity
3,11,27,identity
4,13,27,identity
5,41,27,identity
0,52,27,number
1,35,27,number
2,15,27,number
3,13,27,number
4,10,27,number
5,33,27,number
0,76,27,pose
1,13,27,pose
2,9,27,pose
3,7,27,pose
4,13,27,pose
5,57,27,pose
0,87,27,animacy
1,9,27,animacy
2,9,27,animacy
3,8,27,animacy
