,sample_n,run_id,v_type
3,3,40,background
4,2,40,background
5,1,40,background
0,118,40,identity
1,34,40,identity
2,47,40,identity
3,2,40,identity
4,5,40,identity
5,10,40,identity
0,1,40,number
1,3,40,number
2,150,40,number
3,17,40,number
4,22,40,number
5,9,40,number
0,119,40,pose
1,47,40,pose
2,14,40,pose
3,5,40,pose
4,4,40,pose
5,1,40,pose
0,92,40,animacy
1,81,40,animacy
2,18,40,animacy
3,26,40,animacy
4,4,40,animacy
5,6,40,animacy
0,60,41,background
1,35,41,background
2,4,41,background
3,6,41,background
4,2,41,background
5,3,41,background
0,44,41,identity
1,2,41,identity
2,3,41,identity
3,5,41,identity
4,1,41,identity
5,2,41,identity
0,81,41,number
1,6,41,number
2,3,41,number
3,6,41,number
4,2,41,number
5,5,41,number
0,73,41,pose
1,2,41,pose
2,1,41,pose
3,9,41,pose
4,3,41,pose
5,1,41,pose
0,70,41,animacy
1,16,41,animacy
2,4,41,animacy
3,2,41,animacy
4,3,41,animacy
5,2,41,animacy
0,6,42,background
1,20,42,background
2,33,42,background
3,29,42,background
4,16,42,background
5,15,42,background
0,4,42,identity
1,26,42,identity
2,23,42,identity
3,21,42,identity
4,15,42,identity
5,10,42,identity
0,6,42,number
1,29,42,number
2,1,42,number
3,33,42,number
4,37,42,number
5,11,42,number
0,5,42,pose
1,46,42,pose
2,1,42,pose
3,33,42,pose
4,26,42,pose
5,26,42,pose
0,1,42,animacy
1,1,42,animacy
2,1,42,animacy
3,1,42,animacy
4,23,42,animacy
5,51,42,animacy
0,26,43,background
1,16,43,background
2,15,43,background
3,10,43,background
4,8,43,background
5,12,43,background
0,26,43,identity
1,12,43,identity
2,7,43,identity
3,2,43,identity
4,7,43,identity
5,2,43,identity
0,19,43,number
1,14,43,number
2,8,43,number
3,12,43,number
4,4,43,number
5,6,43,number
0,14,43,pose
1,11,43,pose
2,17,43,pose
3,9,43,pose
4,5,43,pose
5,3,43,pose
0,22,43,animacy
1,9,43,animacy
2,9,43,animacy
3,7,43,animacy
4,5,43,animacy
5,6,43,animacy
0,1,44,background
1,1,44,background
2,1,44,background
3,2,44,background
4,2,44,background
5,1,44,background
0,1,44,identity
1,19,44,identity
2,1,44,identity
3,6,44,identity
4,4,44,identity
5,10,44,identity
0,1,44,number
1,1,44,number
2,32,44,number
3,1,44,number
4,1,44,number
5,1,44,number
0,22,44,pose
1,4,44,pose
2,6,44,pose
3,56,44,pose
4,4,44,pose
5,15,44,pose
0,1,44,animacy
1,1,44,animacy
2,57,44,animacy
3,1,44,animacy
4,1,44,animacy
5,17,44,animacy
0,27,45,background
1,14,45,background
2,3,45,background
3,9,45,background
4,2,45,background
5,3,45,background
0,60,45,identity
1,25,45,identity
2,10,45,identity
3,9,45,identity
4,9,45,identity
5,25,45,identity
0,51,45,number
1,6,45,number
2,1,45,number
3,1,45,number
4,3,45,number
5,2,45,number
0,93,45,pose
1,3,45,pose
2,2,45,pose
3,7,45,pose
4,1,45,pose
5,1,45,pose
0,18,45,animacy
1,17,45,animacy
2,16,45,animacy
3,1,45,animacy
4,11,45,animacy
5,25,45,animacy
0,2,46,background
1,1,46,background
2,1,46,background
3,1,46,background
4,1,46,background
5,1,46,background
0,5,46,identity
1,1,46,identity
2,1,46,identity
3,1,46,identity
4,1,46,identity
5,1,46,identity
0,4,46,number
1,1,46,number
2,1,46,number
3,1,46,number
4,1,46,number
5,1,46,number
0,7,46,pose
1,1,46,pose
2,1,46,pose
3,1,46,pose
4,1,46,pose
5,1,46,pose
0,4,46,animacy
1,1,46,animacy
2,1,46,animacy
3,1,46,animacy
4,1,46,animacy
5,1,46,animacy
0,6,47,background
1,4,47,background
2,4,47,background
3,1,47,background
4,1,47,background
5,1,47,background
0,18,47,identity
1,4,47,identity
2,3,47,identity
3,3,47,identity
4,2,47,identity
5,1,47,identity
0,13,47,number
1,4,47,number
2,2,47,number
3,2,47,number
4,1,47,number
5,1,47,number
0,1,47,pose
1,37,47,pose
2,4,47,pose
3,1,47,pose
4,5,47,pose
5,3,47,pose
0,17,47,animacy
1,4,47,animacy
2,3,47,animacy
3,1,47,animacy
4,1,47,animacy
5,2,47,animacy
0,3,48,background
1,1,48,background
2,1,48,background
3,1,48,background
4,1,48,background
5,1,48,background
0,3,48,identity
1,8,48,identity
2,11,48,identity
3,10,48,identity
4,10,48,identity
