trial_id,stim_id,param_id,sample_n_mean,sample_n_std
16,29,12,30.85,33.720640251148374
15,3,122,18.1,20.047049920781756
7,4,124,23.0,18.906974485901394
16,25,120,18.6,24.730973547993997
12,45,105,42.8,47.15550980811424
18,33,108,11.7,15.83500452860853
0,34,128,46.65,29.381832911905924
8,26,121,60.75,57.7853332329416
7,20,123,53.55,38.571157754549134
0,44,127,58.2,59.58947275448823
11,7,107,61.95,50.52094406752198
4,38,126,47.6,28.92531217135826
9,11,109,60.4,59.3184093196246
7,5,124,29.8,20.887165537969153
3,9,125,74.05,54.829376490306636
15,3,122,23.75,21.417835656539303
11,2,1,42.4,66.0465545537468
0,34,128,36.4,29.162701484854537
16,29,12,29.35,26.462038350894485
16,25,120,26.35,35.76866461612808
18,33,108,18.0,21.484388456933583
7,20,123,36.95,29.364272957384618
4,38,126,29.15,24.229766382434818
12,45,105,48.9,46.20309855182305
11,7,107,46.1,39.08546640646017
0,34,128,45.55,30.346204132694385
16,29,12,18.4,24.0249869927124
15,3,122,24.5,22.760769573521618
0,44,127,59.3,72.6665781425503
7,5,124,46.7,41.617430558790986
16,25,120,15.75,19.710737122054486
4,38,126,38.25,37.636593335406126
9,11,109,61.95,58.37580158358698
3,9,125,68.55,46.331159232092105
8,26,121,72.5,70.00413521620291
18,33,108,25.1,33.51496130952484
0,34,128,43.65,27.3404943550578
16,29,12,16.0,17.85909763736826
7,5,124,31.0,21.944907094094088
15,3,122,22.05,17.578320978439685
16,25,120,18.25,19.98124120268809
11,8,107,49.0,49.84502297912475
7,20,123,75.9,49.75614217572063
12,45,105,56.3,47.08346452395944
4,38,126,46.8,40.51068734881802
11,2,1,69.4,99.36344768999366
0,34,128,39.2,24.117257415866295
3,9,125,57.3,41.03028406587402
18,33,108,28.25,41.643695422249124
16,29,12,17.0,20.78967355000529
7,5,124,38.35,29.757396249990478
15,3,122,22.05,27.136060684515062
16,26,120,22.25,24.998684175898454
8,26,121,55.25,69.8629297078817
11,8,107,26.75,34.0709399249334
0,34,128,40.8,26.957276139144795
0,44,127,86.35,86.95992725024797
4,38,126,37.8,38.560410567807686
7,5,124,27.75,21.15326278179774
15,3,122,14.8,21.399950811551932
9,11,109,80.65,80.74148154514668
7,20,123,64.6,47.64385419028631
12,45,105,51.8,49.24439588740824
16,29,12,28.85,35.52356519566309
18,33,108,24.35,48.9223606178305
16,26,120,26.8,29.251360742077587
0,34,128,45.65,26.34043319789239
8,27,121,43.0,34.93603176935631
4,38,126,37.4,29.319294886330038
7,5,124,31.3,24.933807106860062
3,9,125,68.8,73.18081428180045
0,44,127,53.95,48.27713308542014
15,3,122,23.0,25.07882310677781
0,34,128,28.9,20.08377192503545
16,29,12,18.1,20.039172164853305
16,26,120,10.3,12.456661713823316
11,3,1,79.85,91.9795600863812
11,8,107,68.65,61.60337909392206
7,5,124,34.0,32.96090187830999
18,33,108,35.4,42.21798070416019
0,35,128,35.3,25.60242587190354
15,3,122,18.1,20.611442912794057
7,20,123,62.25,57.27025038313843
8,27,121,47.5,37.665424603027056
4,38,126,54.6,45.25762512084508
12,45,105,62.25,47.510525149697095
16,26,120,8.3,10.1830612706644
16,29,12,22.3,29.140494523131064
9,11,109,66.95,84.3367154858865
7,5,124,28.65,25.613062045925336
0,35,128,38.1,22.421559173917267
0,44,127,74.05,58.84365994556656
18,33,108,14.2,20.1039404359601
11,3,1,41.8,47.79297459933449
3,9,125,83.55,41.408713804552875
15,3,122,23.2,24.217436084902044
4,38,126,42.55,42.568180604766276
11,8,107,58.85,51.87563569680249
16,26,120,22.65,31.964248120278643
16,29,12,21.35,25.882884001025197
0,35,128,36.45,28.221818733589426
7,5,124,37.3,29.931676584479774
8,27,121,59.8,56.29303032488031
12,45,105,53.5,44.52261400563467
7,20,123,70.65,53.799114647381565
11,3,1,31.35,29.771542399447586
18,33,108,19.95,27.88788644781665
4,38,126,28.75,31.35178161646186
15,3,122,27.7,26.185773558214873
0,35,128,35.0,26.67149079171675
16,26,120,9.95,20.01177285078908
7,5,124,25.35,16.658410235642158
0,44,127,62.8,53.38894030947253
3,9,125,59.25,48.36579369761237
9,11,109,56.1,100.23703486184503
16,29,12,35.65,33.96945222123145
0,35,128,35.0,22.91402696120757
11,8,107,51.6,42.991308791184146
15,3,122,14.15,17.454527387351096
4,38,126,38.05,26.539890532435965
8,27,121,39.15,44.81690822845653
16,26,120,20.75,30.320871741391187
7,5,124,44.15,32.693593449353024
18,33,108,32.3,59.626115790067416
16,29,12,15.8,21.82369547557256
3,9,125,61.8,44.473055118565306
7,20,123,74.55,53.6386300307805
