"","subject_num","experiment","fam_or_test","unique_id","animal","block_num","test_type","fam_duration","LT","exclude","age","sex"
"224",24,"A","test","A_24",6,1,"nov","4",23.568,FALSE,222,"M"
"225",24,"A","fam","A_24",7,3,"fam","4",11.051,FALSE,222,"M"
"226",24,"A","test","A_24",7,3,"fam","4",3.724,FALSE,222,"M"
"227",24,"A","fam","A_24",4,2,"fam","8",20.083,FALSE,222,"M"
"228",24,"A","test","A_24",4,2,"fam","8",3.769,FALSE,222,"M"
"229",24,"A","fam","A_24",12,4,"nov","8",32.27,FALSE,222,"M"
"230",24,"A","test","A_24",11,4,"nov","8",16.951,FALSE,222,"M"
"231",25,"A","test","A_25",1,4,"fam","0",6.396,TRUE,329,"M"
"232",25,"A","test","A_25",8,6,"fam","0",9.27099999999999,FALSE,329,"M"
"233",25,"A","fam","A_25",5,3,"nov","4",16.1,FALSE,329,"M"
"234",25,"A","test","A_25",6,3,"nov","4",0.724999999999998,TRUE,329,"M"
"235",25,"A","fam","A_25",9,5,"fam","4",15.16,FALSE,329,"M"
"236",25,"A","test","A_25",9,5,"fam","4",4.319,FALSE,329,"M"
"237",25,"A","fam","A_25",12,1,"fam","8",36.111,FALSE,329,"M"
"238",25,"A","test","A_25",12,1,"fam","8",6.041,FALSE,329,"M"
"239",25,"A","fam","A_25",4,2,"nov","8",27.325,FALSE,329,"M"
"240",25,"A","test","A_25",3,2,"nov","8",22.639,FALSE,329,"M"
"241",26,"A","test","A_26",8,1,"fam","0",1.622,TRUE,336,"M"
"242",26,"A","test","A_26",1,3,"fam","0",15.511,FALSE,336,"M"
"243",26,"A","fam","A_26",12,2,"fam","4",15.097,FALSE,336,"M"
"244",26,"A","test","A_26",12,2,"fam","4",30.547,FALSE,336,"M"
"245",26,"A","fam","A_26",5,4,"nov","4",8.946,FALSE,336,"M"
"246",26,"A","test","A_26",6,4,"nov","4",1.081,TRUE,336,"M"
"247",26,"A","fam","A_26",10,5,"nov","8",36.813,FALSE,336,"M"
"248",26,"A","test","A_26",9,5,"nov","8",12.618,FALSE,336,"M"
"249",26,"A","fam","A_26",3,6,"fam","8",25.331,FALSE,336,"M"
"250",26,"A","test","A_26",3,6,"fam","8",4.877,FALSE,336,"M"
"251",27,"A","test","A_27",1,3,"fam","0",6.687,TRUE,242,"F"
"252",27,"A","test","A_27",12,5,"fam","0",1.803,TRUE,242,"F"
"253",27,"A","fam","A_27",10,1,"fam","4",19.121,TRUE,242,"F"
"254",27,"A","test","A_27",10,1,"fam","4",14.924,TRUE,242,"F"
"255",27,"A","fam","A_27",3,2,"nov","4",17.811,TRUE,242,"F"
"256",27,"A","test","A_27",4,2,"nov","4",8.749,TRUE,242,"F"
"257",27,"A","fam","A_27",5,4,"fam","8",29.311,TRUE,242,"F"
"258",27,"A","test","A_27",5,4,"fam","8",13.496,TRUE,242,"F"
"259",27,"A","fam","A_27",8,6,"nov","8",23.798,TRUE,242,"F"
"260",27,"A","test","A_27",7,6,"nov","8",9.322,TRUE,242,"F"
"261",28,"A","test","A_28",12,2,"fam","0",12.747,FALSE,295,"F"
"262",28,"A","test","A_28",4,4,"fam","0",11.189,FALSE,295,"F"
"263",28,"A","fam","A_28",6,5,"nov","4",19.999,FALSE,295,"F"
"264",28,"A","test","A_28",5,5,"nov","4",25.334,FALSE,295,"F"
"265",28,"A","fam","A_28",1,6,"fam","4",19.999,FALSE,295,"F"
"266",28,"A","test","A_28",1,6,"fam","4",12.372,FALSE,295,"F"
"267",28,"A","fam","A_28",9,1,"nov","8",39.999,FALSE,295,"F"
"268",28,"A","test","A_28",10,1,"nov","8",60,FALSE,295,"F"
"269",28,"A","fam","A_28",7,3,"fam","8",39.999,FALSE,295,"F"
"270",28,"A","test","A_28",7,3,"fam","8",2.798,FALSE,295,"F"
"271",29,"A","test","A_29",11,5,"fam","0",28.013,FALSE,230,"F"
"272",29,"A","test","A_29",1,6,"fam","0",5.773,FALSE,230,"F"
