p_i,p_a,rsquared,rmse
3,120,0.8882887853029472,1.9173781275124642
3,121,0.5778753333912193,3.7132777299738393
3,122,0.8374917885234419,2.302626459202113
3,123,0.5244559709163686,3.9308646294678775
3,124,0.8378534747023613,2.3009675899325277
3,125,0.5261192471893448,3.924334338599208
3,126,0.8647851698815974,2.14040612150112
3,127,0.5295937859971964,3.920677256378221
3,128,0.81766654732545,2.454905329979231
3,129,0.48127455354590154,4.106271273261375
3,130,0.8056694726776642,2.533293928989069
3,131,0.4855744707549489,4.089957573103478
3,132,0.8713376019465733,2.082626243554107
3,133,0.5504033434669746,3.8376254254385977
3,134,0.8251591350990111,2.402790059081264
3,135,0.4968343489180504,4.045455338860924
3,136,0.821904233516166,2.425141420314472
3,137,0.48828088232749123,4.078269555032785
3,138,0.8854048071331954,1.9440976266280543
3,139,0.58250895537524106,3.6936923237086265
3,140,0.838269522897671,2.2979701886818744
3,141,0.5238851843765379,3.9333005942191384
3,142,0.8343362275518382,2.326134780429439
3,143,0.522304144222528,3.9398962690997856
3,144,0.8983768287783284,1.8678856798148074
3,145,0.6151889598925055,3.587799065931086
3,146,0.8446297102890286,2.2740627509859874
3,147,0.5453696190872451,3.858883069550101
3,148,0.8425176143173445,2.2884930286176597
3,149,0.5443653292296298,3.862370646157167
3,150,0.8871172581763289,1.951272254405012
3,151,0.5819999797027782,3.715031680647176
3,152,0.8279162427886991,2.38525404068804
3,153,0.5153900983807866,3.972714006069271
3,154,0.8264061128382264,2.3986937878655783
3,155,0.5143189998846561,3.9781222935674925
3,156,0.8758639996534459,2.030933420064928
3,157,0.5561922040855672,3.8092912675753667
3,158,0.8321142732541273,2.3469904248177045
3,159,0.5060169194524874,4.007220348010611
3,160,0.8250513993676339,2.3961722354359263
3,161,0.5001359062409619,4.0304066981819995
4,0,0.48145333651195105,4.129079403643713
4,1,0.08444988544273391,5.650028674882159
4,2,0.3936729852501886,4.437044137247108
4,3,0.06987889674623453,5.739717069318862
4,4,0.3790146500138489,4.490663856455978
4,5,0.06516447463765672,5.760047828259277
4,6,0.5055093688139514,4.040430658316569
4,7,0.10051711778803674,5.557519052158496
